Fri Dec 06 23:00:52 MSK 2024 [Error]: Authentication Error (Attempt 1): Invalid password format. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 125)
Fri Dec 06 23:00:53 MSK 2024 [Error]: Authentication Error (Attempt 2): Invalid password format. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 125)
Fri Dec 06 23:00:54 MSK 2024 [Error]: Authentication Error (Attempt 3): Invalid password format. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 125)
Fri Dec 06 23:00:54 MSK 2024 [Error]: The maximum number of login attempts has been exceeded for user. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 125)
Fri Dec 06 23:00:54 MSK 2024 [Error]: Unexpected error when starting the analyzer: RuntimeException - Authentication failed. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 125)
Sat Dec 07 02:24:36 MSK 2024 [Error]: Authentication Error (Attempt 1): Invalid password format. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 02:26:45 MSK 2024 [Error]: Authentication Error (Attempt 1): Invalid password format. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 02:33:00 MSK 2024 [Error]: Authentication Error (Attempt 1): Invalid password format. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 02:36:34 MSK 2024 [Error]: Authentication Error (Attempt 1): Invalid username or password. Try again. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 02:49:37 MSK 2024 [Error]: Unexpected error when starting the analyzer: RuntimeException - The QR code could not be verified. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:08:40 MSK 2024 [Error]: Authentication Error (Attempt 1): An attempt to enter incorrect data. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:12:00 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:13:07 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:13:29 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:13:32 MSK 2024 [Error]: Authentication Error (Attempt 2): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:13:56 MSK 2024 [Error]: Authentication Error (Attempt 3): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:13:56 MSK 2024 [Error]: The maximum number of login attempts has been exceeded for user. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:13:56 MSK 2024 [Error]: Unexpected error when starting the analyzer: RuntimeException - Authentication failed. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:16:13 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:18:15 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:19:18 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 13:20:17 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 15:37:00 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sat Dec 07 15:42:24 MSK 2024 [Error]: Authentication Error (Attempt 1): invalid username or password. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
Sun Dec 08 13:20:16 MSK 2024 [Error]: Authentication Error (Attempt 1): Invalid USERNAME or PASSWORD. | Location: com.teachmeskills.application.services.logger.impl.LoggerService.logError (Line: 150)
